Torque,Torque
X,Y
2.4999999999999982,36.71278700033453
2.9999999999999982,36.737655476694904
3.4999999999999982,36.76717557241149
3.9999999999999982,36.712786259573946
4.499999999999998,36.604007156027905
4.999999999999998,36.42208342160003
5.499999999999998,36.220649420728044
5.999999999999998,36.13520235995476
6.499999999999998,36.11450381679437
6.999999999999998,36.18975901317677
7.499999999999998,36.396660906267925
7.999999999999998,36.71278884216195
8.499999999999998,36.76435059865705
8.999999999999998,36.867358234327135
9.499999999999998,36.84876037994679
9.999999999999998,36.71278625966378
10.499999999999998,36.61034506849192
10.999999999999998,36.473763915330686
11.499999999999998,36.33205982859669
11.999999999999998,36.22328218377515
12.499999999999998,36.14686525878946
12.999999999999998,36.31865287896858
13.499999999999998,36.386450381685776
13.999999999999998,36.57564322475562
14.499999999999995,36.685590946905265
15.000000000000002,36.7399810764848
15.500000000000002,36.767175572486146
15.999999999999998,36.68778092107703
16.5,36.54178699963104
17,36.37749290476299
17.5,36.22161716892296
18,36.11450343059607
18.5,36.11450381676579
19,36.20942069173649
19.5,36.38675742859224
20,36.673277159577964
20.5,36.76529622822141
21,36.87595507409764
21.5,36.82156437804388
22,36.72120092306778
22.5,36.66512324589805
23,36.43563790947939
23.5,36.332061068632754
24,36.234070255143806
24.5,36.14958106692316
25,36.251405723418195
25.5,36.38644921390003
26,36.54961929041598
26.5,36.71278722372683
27,36.73998096300446
27.5,36.74716515252586
28,36.71278718014083
28.5,36.57320063888015
29,36.390561951661255
29.5,36.26947983015676
30,36.07816994366375
30.5,36.08730929971659
31,36.21154322226713
31.5,36.37454221223839
32,36.672075801706505
32.5,36.740756114790166
33,36.875954748040954
33.5,36.834410897684194
34,36.71278581027408
34.5,36.6607310089971
35,36.48451262051764
35.5,36.3320599858972
36,36.24773627714951
36.5,36.223282442815524
37,36.25047625127728
37.5,36.36731676615575
38,36.52451681604093
38.5,36.71278625945187
39,36.73998190573064
39.5,36.76717610860555
40,36.71278625953307
40.49999999999999,36.5636372834351
41,36.40192404533388
41.50000000000001,36.223280851330536
42,36.11450344013703
42.50000000000001,36.11450381690134
43,36.19684573757663
43.5,36.47188316067853
43.99999999999999,36.705264486409995
44.5,36.755453380042
45.00000000000001,36.875954198473295
45.5,36.84839423252789
46.00000000000001,36.71278572341199
46.5,36.64536590438151
47,36.43114395257996
47.49999999999999,36.33415453060112
48,36.25853884738873
48.49999999999999,36.206691211989536
49,36.280553120229754
49.50000000000001,36.38371048405345
50.00000000000001,36.45761256270522
50.50000000000001,36.6938300272855
51.00000000000001,36.7411478897309
51.50000000000001,36.76717646256195
52.00000000000001,36.712787295786526
52.50000000000001,36.5436254153737
53.00000000000001,36.38670873387338
53.50000000000001,36.257316424002305
54.00000000000001,36.11450275602026
54.50000000000001,36.08339546582091
55.00000000000001,36.25047695988788
55.50000000000001,36.38644692504493
56.00000000000001,36.677401566180286
56.50000000000001,36.79642732981267
57.00000000000001,36.87595488953221
57.50000000000001,36.84876259943578
58.00000000000001,36.71278690245712
58.50000000000001,36.60305947960339
59.00000000000001,36.43062112651552
59.50000000000001,36.37323231629163
60.00000000000001,36.24546917360115
60.50000000000001,36.169821081388875
61.00000000000001,36.26978879483761
61.50000000000001,36.35925288389913
62.00000000000001,36.528471996904095
62.50000000000001,36.682990778025236
63.00000000000001,36.72974577101245
63.50000000000001,36.731562982676536
64,36.712786259516804
64.5,36.55414745912592
65,36.38645044981863
65.5,36.2715148155838
66,36.08761618254411
66.5,36.08064159451658
67,36.25956784853398
67.5,36.421774687618345
68,36.65506762862705
68.5,36.82189174665079
69,36.87595419839241
69.5,36.79218034415254
70,36.712787019240075
70.5,36.61535434443422
71,36.45331868096491
71.5,36.35925569418528
72,36.223280980613815
72.5,36.22328142485467
