theta,emf a,emf b,emf c
radian,volt,volt,volt
0.0,170.84223510293995,-60.988030651661276,-131.86545466875816
0.0012578949563923096,170.74419081935153,-59.73155738471213,-132.7130359828703
0.002515789912784619,170.64595230750857,-58.46584220518226,-133.5566841086969
0.0037736848691769286,170.54715719719135,-57.19092864499147,-134.39600111474851
0.005031579825569238,170.44739966812747,-55.90694900162369,-135.2305115622029
0.006289474781961548,170.3462352110857,-54.614127594927105,-136.0596668813323
0.007547369738353857,170.2431859878202,-53.31278281743525,-136.8828510096636
0.008805264694746167,170.13774673038446,-52.00332793430096,-137.6993872168155
0.010063159651138477,170.0293911107525,-50.6862706062099,-138.50854602092673
0.011321054607530787,169.91757850274837,-49.36221112618104,-139.30955408305365
0.012578949563923096,169.80176105018492,-48.03183937873722,-140.10160394917855
0.013836844520315406,169.6813909480111,-46.695930547263885,-140.8838644948169
0.015094739476707714,169.55592783731342,-45.35533961226663,-141.65549191490658
0.016352634433100026,169.42484621036627,-44.01099469942969,-142.41564109190114
0.017610529389492334,169.2876427187024,-42.66388935167769,-143.1634771679519
0.018868424345884646,169.1438432754801,-41.31507381364914,-143.89818714286926
0.020126319302276954,168.99300984335702,-39.96564542992653,-144.61899131827252
0.02138421425866926,168.83474680069313,-38.616738269885445,-145.32515440999975
0.022642109215061573,168.66870678223506,-37.26951210198913,-146.0159961554257
0.02390000417145388,168.494595895492,-35.92514084865996,-146.6909012497538
0.025157899127846193,168.3121782207691,-34.584800659424126,-147.34932845547686
0.0264157940842385,168.1212795112294,-33.24965774479186,-147.99081874188968
0.027673689040630813,167.92179001932806,-31.920856116270752,-148.61500232654097
0.02893158399702312,167.71366638738124,-30.59950537900955,-149.22160450762294
0.03018947895341543,167.4969325527636,-29.286668722841497,-149.81045019518214
0.03144737390980774,167.27167963210172,-27.983351254993224,-150.38146706941592
0.03270526886620005,167.0380647636412,-26.69048881348883,-150.93468731583573
0.03396316382259236,166.79630890251767,-25.408937394407918,-151.47024790937135
0.03522105877898467,166.54669357969513,-24.139463318732155,-151.98838944220077
0.036478953735376976,166.2895566516216,-22.882734255663273,-152.4894535128287
0.03773684869176929,166.02528708391412,-21.639311209137546,-152.97387871633708
0.0389947436481616,165.75431882836057,-20.409641562940443,-153.4421952974159
0.04025263860455391,165.47712386794618,-19.194053267488247,-153.8950185484072
0.041510533560946215,165.19420451919837,-17.99275023815297,-154.33304105381592
0.04276842851733852,164.9060850946517,-16.805809021116005,-154.75702390025316
0.04402632347373084,164.6133030403939,-15.633176768327157,-155.16778698629875
0.045284218430123147,164.3163996742535,-14.474670548367492,-155.5661985800626
0.046542113386515455,164.01591065900402,-13.329978005054253,-155.95316428307171
0.04780000834290776,163.7123563518094,-12.198659360634286,-156.3296155673631
0.04905790329930008,163.40623217586938,-11.080150745561776,-156.6964980581949
0.050315798255692386,163.09799916270512,-9.973768822294952,-157.0547597375306
0.051573693212084694,162.7880748136884,-8.87871665643629,-157.40533924338777
0.052831588168477,162.47682442719164,-7.794090775012304,-157.74915443727605
0.05408948312486931,162.16455303312833,-6.718889338886142,-158.08709140638592
0.055347378081261625,161.8514980696853,-5.652021344342039,-158.4199940590012
0.05660527303765393,161.5378229277947,-4.592316757883149,-158.74865446099517
0.05786316799404624,161.22361147747063,-3.538537478360669,-159.07380404839523
0.05912106295043855,160.90886367668463,-2.4893890117780844,-159.3961058361239
0.06037895790683086,160.5934923481779,-1.4435327365878767,-159.71614772639043
0.06163685286322317,160.2773211927112,-0.3995986310711486,-160.03443700211906
0.06289474781961547,159.9600840890073,0.6438016704651215,-160.35139607156847
0.0641526427760078,159.64142571131478,1.6880616293953992,-160.6673595102395
0.0654105377324001,159.320903475421,2.7345665011199007,-160.9825724256369
0.06666843268879241,158.9979908033898,3.784680119342629,-161.29719014977852
0.06792632764518472,158.67208167662878,4.839731904674553,-161.6112792438643
0.06918422260157703,158.34249642643738,5.901004233602713,-161.9248197795748
0.07044211755796934,158.00848869129794,6.969720300080308,-162.237708842368
0.07170001251436164,157.6692534511728,8.047032596808393,-162.54976518418454
0.07295790747075395,157.3239360313032,9.134012136747288,-162.86073493643883
0.07421580242714626,156.97164195174872,10.231638527567442,-163.1702982792996
0.07547369738353858,156.6114474844834,11.340791002701485,-163.47807695027637
0.07673159233993089,156.2424107674945,12.462240502471918,-163.7836424641977
0.0779894872963232,155.86358331526822,13.596642887543178,-164.086524907941
0.0792473822527155,155.47402175746288,14.74453335477717,-164.3862221668532
0.08050527720910781,155.0727996326239,15.90632211259222,-164.68220943575017
0.08176317216550012,154.65901906158646,17.082291359245637,-164.97394886571703
0.08302106712189243,154.2318221257971,18.272593593232106,-165.26089919864324
0.08427896207828474,153.79040177919114,19.47725127034718,-165.54252524444584
0.08553685703467705,153.33401212843643,20.69615780706794,-165.81830706117267
0.08679475199106937,152.861977925226,21.92907991490291,-166.08774870550522
0.08805264694746168,152.3737031257405,23.175661235430795,-166.35038643042782
0.08931054190385398,151.86867838623502,24.43542723104228,-166.60579621781525
0.09056843686024629,151.34648737971148,25.70779127209325,-166.85360054618866
0.0918263318166386,150.8068118365809,26.992061847439583,-167.09347430766934
0.09308422677303091,150.24943523179616,28.28745081231664,-167.32514980296912
0.09434212172942322,149.6742450618363,29.593082575413316,-167.54842075882618
0.09560001668581553,149.08123367681347,30.90800411592915,-167.76314532836597
0.09685791164220783,148.4704976554826,32.231195711537694,-167.969248051156
0.09811580659860016,147.84223573370207,33.561582249652325,-168.1667207659736
0.09937370155499246,147.19674531953595,34.898044987318876,-168.35562248525122
