Va,Va,Vb,Vb,Vc,Vc
X,Y,X,Y,X,Y
4.962905534351144,76.08273423005562,4.979222328244273,135.03252551020404,4.962905534351144,-215.84067717996288
6.309041030534349,59.203820732838494,5.7583492366412194,155.56234056122443,6.309041030534349,-205.35641813543612
7.59398854961832,41.21699617346934,6.370229007633586,175.92857142857142,7.6551765267175576,-192.0466141001856
8.817748091603054,23.304528061224403,6.9753101145038165,194.7225765306122,8.906130725190842,-175.7955994897959
10.041507633587788,6.700733418367292,7.59398854961832,213.30755739795916,9.747805343511448,-158.76466836734699
11.204079198473284,-11.393494897959272,8.267056297709924,232.25605867346937,10.836951335877863,-138.9891581632653
12.293225190839692,-31.98692602040819,9.490815839694655,241.30275974025972,12.060710877862597,-121.03620709647498
13.190335070463885,-52.79986754317116,10.836951335877863,232.97483766233762,13.406846374045802,-107.87511595547312
14.114878680479823,-74.83429755830912,12.183086832061068,230.372362012987,14.75298187022901,-97.09343112244903
14.630605916030536,-86.25597895408168,13.529222328244277,232.23127319109457,16.099117366412212,-86.31174628942495
15.565113202637054,-110.77501739332104,14.875357824427478,233.27226345083486,17.44525286259542,-71.9609519944342
16.71099713740458,-131.4461096938776,16.221493320610687,223.9777075602968,18.669012404580155,-54.4706632653062
17.45637794934073,-152.41462778293146,17.567628816793896,210.74225997217067,19.89277194656489,-37.45956052875704
18.168383501040946,-173.38314587198522,18.913764312977104,198.99394132653057,21.17771946564886,-18.981983418367406
18.730200381679392,-192.38121811224494,20.259899809160306,183.9739390074211,22.340291030534356,-2.487244897959215
19.29201726231783,-211.52800324675331,21.402075381679392,164.36862244897958,23.441674618320615,14.87085459183669
20.111300436205017,-232.86830357142867,22.136331106870234,146.37436224489795,24.630469601962925,33.36495535714283
21.48365935114504,-241.71672077922085,23.441674618320615,127.98353432281999,25.399689885496183,52.340720663265245
22.829794847328248,-233.01701646567722,24.787810114503817,113.11224489795916,26.181013285378743,70.01410419937201
24.17593034351145,-230.04275858070503,26.133945610687025,102.62798585343222,26.90157659611381,89.46689471243036
25.52206583969466,-234.13236317254177,27.84720896946565,86.4182803803339,27.688120229007634,107.30500637755097
26.868201335877867,-233.46315514842308,29.19334446564886,74.22382305194799,28.63709012838307,126.12462314471242
28.21433683206107,-224.31731215213358,30.47829198473283,57.411830357142776,29.370109732824435,142.375637755102
29.560472328244277,-211.30493390538038,31.702051526717558,39.09040178571422,29.9276001908397,160.79703443877548
30.906607824427486,-199.55661525974028,32.986999045801525,21.430745593691995,30.417104007633593,178.19538083090376
32.130367366412216,-185.6106505102041,34.21075858778626,4.328762755101991,31.017858691880644,197.28374304267157
33.28823216382854,-169.3221399136578,35.25095419847328,-12.234135841836803,31.616388358778632,216.90640943877548
34.25155057251908,-149.53125,36.22996183206108,-29.41047512755108,32.619871183206115,236.69266001855286
35.373330152671755,-130.05564413265313,37.12330629770993,-51.23533163265324,33.966006679389324,238.99770987940627
36.65827767175573,-114.64155264378485,37.89316230048577,-71.51481331168839,35.31214217557252,230.6697878014842
38.004413167938935,-103.63679846938783,38.66336061362301,-90.17256181318686,36.65827767175573,230.6697878014842
39.962428435114504,-86.98095431354363,39.421934637404576,-108.68064413265307,38.004413167938935,233.42097634508346
41.30856393129771,-72.77887291280155,40.43833492366413,-126.44770408163276,39.350548664122144,230.9672135899814
42.65469942748092,-54.561543367346985,41.16736090722256,-145.22493131868134,40.69668416030535,218.4753304730983
43.878458969465655,-37.20344387755114,41.852457061068705,-163.7994260204082,42.04281965648856,206.42958603896102
45.10221851145039,-19.39094387755108,42.40994751908397,-182.81154336734699,43.388955152671755,194.2351287105751
46.38716603053436,-1.8874362244898748,42.96063931297711,-200.86714764030626,44.61271469465649,178.90943877551018
47.549737595419856,17.415497448979522,43.51133110687023,-218.14572704081638,45.51829675572519,159.57015306122446
48.694826881134134,35.58502642128275,44.2678370055517,-235.61949211502792,46.25255248091602,144.43861607142856
49.6301288167939,57.49362244897952,45.59172232824427,-240.8987998608535,47.48854961832062,127.34406887755097
50.40517652671757,77.9416454081632,46.93785782442748,-232.27345199443425,48.77349713740459,112.8148191094619
51.5436437369882,108.7252145176252,48.28399332061069,-230.1171150278294,50.119632633587784,101.51263914656766
52.740517652671755,127.08506058673464,49.6301288167939,-234.20671961966616,51.46576812977099,90.87966720779218
53.423783396946575,145.9108737244898,50.97626431297711,-233.53751159554747,52.8119036259542,78.46214053803334
53.9744751908397,163.92558195153057,52.3223998091603,-222.90453965677193,54.035663167938935,63.400829081632594
54.525166984732834,181.89939413265304,53.66853530534351,-210.33830009276448,55.25942270992367,45.076095779220736
55.0826574427481,200.62978316326527,55.01467080152672,-198.2181992115029,56.54437022900764,26.985172193877474
55.7044261797363,217.13691442486083,56.29961832061069,-183.30229591836735,57.768129770992374,9.399872448979522
56.60555820610688,237.06444225417437,57.58456583969466,-164.57190688775518,58.93070133587787,-7.485650510204152
57.951693702290086,238.62592764378476,58.318821564885496,-147.60004783163276,60.03208492366413,-26.752232142857224
59.29782919847328,230.6697878014842,59.420205152671755,-128.32313891465685,60.964024882560196,-48.52151197017275
60.64396469465649,230.6697878014842,60.766340648854964,-113.60056238404457,61.81209880291465,-68.09441674397033
61.9901001908397,233.7184021335807,62.051288167938935,-103.22783801020415,62.540791984732834,-88.30078125000006
63.336235687022906,230.6697878014842,64.07049141221374,-86.38610273654922,63.299522900763364,-105.43622448979602
64.68237118320612,218.92146915584414,65.41662690839695,-71.58916975881272,64.10108540076338,-123.130580357143
