Tooth,Tooth,Yoke,Yoke,Rotor,Rotor
X,Y,X,Y,X,Y
2.4824055666003986,52.22850765306123,2.4405176086339146,33.54719387755101,2.4314115308151116,0.8303571428571388
3.132579522862823,53.12276785714285,3.132579522862823,34.31058673469387,3.1963220675944335,0.8303571428571388
3.9293613320079537,52.85012755102041,3.961232604373759,34.80133928571428,3.961232604373759,0.8303571428571388
4.5094184890656095,52.32665816326529,4.726143141153081,34.6922831632653,4.726143141153081,1.1575255102040671
5.236083499005964,52.41390306122449,5.522924950298211,34.958107461734684,5.491053677932406,1.1575255102040671
6.036406560636184,52.70471938775509,6.238579884330385,36.030699211502764,6.255964214711732,1.1575255102040671
6.765904572564612,53.995216836734684,7.0208747514910534,37.841278698979565,7.0208747514910534,1.3483737244897895
7.530815109343937,55.412946428571416,7.737978379721671,39.333984375,7.785785288270379,1.4846938775509955
8.295725646123262,56.530771683673464,8.600273359840955,39.18176020408163,8.5506958250497,1.4846938775509955
9.081883697813122,55.86734693877551,9.251863817097416,38.045758928571416,9.315606361829026,1.4846938775509955
9.727035514187602,54.38187036178107,9.570576540755468,36.246332908163254,10.080516898608352,1.4846938775509955
10.399229622266404,52.54113520408163,10.101764413518886,34.41964285714286,10.845427435387673,1.3483737244897895
10.909169980119284,51.123405612244895,10.717942345924452,32.81106505102041,11.610337972166999,1.3211096938775313
11.546595427435388,50.45770886479592,11.43732249360977,31.841244533527686,12.375248508946324,1.1575255102040671
12.375248508946324,50.232780612244895,12.247763419483103,31.475127551020407,13.140159045725646,0.993941326530603
13.140159045725646,50.39636479591836,13.012673956262425,31.50239158163265,13.905069582504971,0.8303571428571388
13.905069582504971,51.077965561224474,13.764835984095427,31.927710459183672,14.669980119284297,0.8303571428571388
14.662897614314119,52.48660714285715,14.492917495029822,33.23820153061223,15.434890656063622,0.8303571428571388
15.434890656063622,53.44993622448979,15.261875177506397,34.505329810495624,16.19980119284294,0.9121492346938567
16.183865556660038,52.87057557397959,16.07231610337972,34.828603316326536,16.964711729622266,1.1575255102040671
16.730989065606366,52.03220663265306,16.837226640159045,34.6922831632653,17.72962226640159,1.1575255102040671
17.47465208747515,52.359375,17.61124325475717,35.08955903790087,18.494532803180917,1.2120535714285552
18.26853650822339,52.96909786641929,18.367047713717696,36.12364477040816,19.259443339960242,1.4029017857142776
19.0044731610338,54.2951211734694,19.13195825049702,38.01849489795919,20.02435387673956,1.4846938775509955
19.740409813844202,55.928484461966605,19.83312624254473,39.45667251275509,20.789264413518886,1.4846938775509955
20.56616550695825,56.714803890306115,20.670885401874465,39.412855320699705,21.55417495029821,1.4846938775509955
