Rotor,Rotor,Yoke,Yoke,Tooth,Tooth
X,Y,X,Y,X,Y
2.6412071535022363,0.9472029883381765,2.7686289120715344,37.77701348396502,2.7686289120715344,62.791372084548115
3.5331594634873333,1.0406796647230294,3.6605812220566314,37.49658345481049,3.6605812220566314,62.291271865889215
4.42511177347243,1.1575255102040671,4.552533532041728,37.09930758017491,4.552533532041728,61.3097667638484
5.317064083457527,1.4846938775509955,5.444485842026825,37.26289176384839,5.444485842026825,61.02933673469387
6.209016393442624,1.4846938775509955,6.336438152011922,38.26776603498543,6.336438152011922,61.91736516034986
7.100968703427721,1.648278061224488,7.228390461997019,39.01557944606414,7.228390461997019,63.109192784256564
7.992921013412818,1.648278061224488,8.120342771982116,39.1557944606414,8.120342771982116,63.69342201166181
8.884873323397915,1.648278061224488,9.012295081967213,38.594934402332356,9.012295081967213,63.38962281341108
9.776825633383012,1.6015397230320616,9.90424739195231,37.122676749271136,9.90424739195231,61.89399599125365
10.66877794336811,1.4846938775509955,10.796199701937407,35.977587463556844,10.796199701937407,60.56195335276968
11.560730253353206,1.2743713556851048,11.688152011922504,35.299881559766746,11.688152011922504,60.04783163265306
12.452682563338303,0.9705721574343897,12.580104321907601,35.62704992711369,12.580104321907601,60.58532252186589
13.344634873323397,0.8303571428571388,13.472056631892702,36.63192419825073,13.472056631892702,61.91736516034986
14.236587183308497,0.8303571428571388,14.364008941877795,37.590060131195315,14.364008941877795,62.80539358600582
15.12853949329359,0.9238338192419633,15.255961251862896,37.753644314868794,15.255961251862896,62.66517857142857
16.02049180327869,1.1107871720116407,16.14791356184799,37.239522594752174,16.14791356184799,61.80051931486881
16.912444113263785,1.3211096938775313,17.03986587183309,37.07593841107871,17.03986587183309,61.02933673469387
17.804396423248885,1.4846938775509955,17.931818181818183,37.61342930029154,17.931818181818183,61.21629008746356
18.69634873323398,1.5548013848396351,18.823770491803284,38.61830357142857,18.823770491803284,62.47822521865889
19.58830104321908,1.648278061224488,19.715722801788377,39.31937864431487,19.715722801788377,63.670052842565596
20.480253353204173,1.648278061224488,20.607675111773478,39.132425291545175,20.607675111773478,63.763529518950435
21.372205663189273,1.648278061224488,21.49962742175857,37.84712099125365,21.49962742175857,62.66517857142857
22.264157973174374,1.5314322157434503,22.391579731743672,36.421601676384824,22.391579731743672,61.0760750728863
23.156110283159467,1.4613247084548107,23.283532041728765,35.44009657434401,23.283532041728765,60.04783163265306
24.048062593144568,1.1107871720116407,24.175484351713866,35.253143221574334,24.175484351713866,60.141308309037896
24.94001490312966,0.9004646501457501,25.06743666169896,36.21127915451895,25.06743666169896,61.40324344023324
25.831967213114762,0.8303571428571388,25.95938897168406,37.42647594752185,25.95938897168406,62.78202441690962
26.723919523099855,0.8770954810495653,26.851341281669153,37.73027514577258,26.851341281669153,62.68854774052478
27.615871833084956,1.0406796647230294,27.743293591654254,37.35636844023324,27.743293591654254,62.05758017492711
28.50782414307005,1.1575255102040671,28.635245901639347,37.122676749271136,28.635245901639347,61.28639759475219
29.39977645305515,1.4846938775509955,29.527198211624448,37.216153425655975,29.527198211624448,61.0760750728863
30.291728763040243,1.4846938775509955,30.41915052160954,38.12755102040816,30.41915052160954,61.94073432944606
31.183681073025344,1.6249088921282748,31.311102831594642,39.1791636297376,31.311102831594642,63.29614613702623
32.07563338301044,1.648278061224488,32.20305514157974,39.27264030612244,32.20305514157974,63.85700619533527
32.96758569299554,1.648278061224488,33.09500745156484,38.407981049562665,33.09500745156484,63.226038629737616
33.85953800298063,1.6249088921282748,33.986959761549926,37.09930758017491,33.986959761549926,61.89399599125365
34.75149031296573,1.4846938775509955,34.87891207153503,36.00095663265306,34.87891207153503,60.51521501457725
35.64344262295083,1.2977405247813465,35.77086438152013,35.20640488338191,35.77086438152013,59.930985787172006
36.53539493293593,0.9705721574343897,36.66281669150523,35.62704992711369,36.66281669150523,60.70216836734694
37.427347242921016,0.8303571428571388,37.554769001490314,36.702031705539355,37.554769001490314,62.0108418367347
38.319299552906116,0.8303571428571388,38.446721311475414,37.68353680758018,38.446721311475414,62.92223943148687
39.21125186289122,0.9472029883381765,39.338673621460515,37.753644314868794,39.338673621460515,62.61844023323616
40.10320417287632,1.1575255102040671,40.230625931445616,37.216153425655975,40.230625931445616,61.63693513119533
40.995156482861404,1.391217201166171,41.1225782414307,37.07593841107871,41.1225782414307,61.00596756559766
41.887108792846504,1.4846938775509955,42.0145305514158,37.660167638483955,42.0145305514158,61.35650510204081
42.779061102831605,1.5548013848396351,42.9064828614009,38.71178024781341,42.9064828614009,62.54833272594752
43.671013412816706,1.648278061224488,43.798435171386004,39.34274781341108,43.798435171386004,63.71679118075802
44.56296572280179,1.648278061224488,44.69038748137109,39.132425291545175,44.69038748137109,63.903744533527686
45.45491803278689,1.648278061224488,45.58233979135619,37.70690597667638,45.58233979135619,62.54833272594752
46.34687034277199,1.5080630466472087,46.47429210134129,36.23464832361516,46.47429210134129,60.86575255102041
47.23882265275708,1.437955539358569,47.36624441132638,35.48683491253644,47.36624441132638,60.04783163265306
48.13077496274218,1.0640488338192426,48.25819672131148,35.27651239067055,48.25819672131148,60.16467747813411
49.02272727272728,0.8770954810495653,49.15014903129658,36.37486333819243,49.15014903129658,61.566827623906704
49.91467958271238,0.8303571428571388,50.04210134128168,37.35636844023324,50.04210134128168,62.68854774052478
50.80663189269747,0.9004646501457501,50.934053651266765,37.80038265306122,50.934053651266765,62.78202441690962
51.69858420268257,1.0406796647230294,51.826005961251866,37.33299927113701,51.826005961251866,61.987472667638485
