MagnetLoss,MagnetLoss
X,Y
2.447775030902351,30.693080357142854
3.027446904146535,31.37213372564935
3.7864647713226223,31.916175063775505
4.526266996291719,31.718510841836732
5.266069221260816,31.357262436224485
6.005871446229916,30.975566007653057
6.745673671199013,30.491629464285708
7.48547589616811,29.864556760204074
7.971631644004946,29.308370535714282
8.648022249690976,28.787627551020403
9.34819221260816,28.088134765624993
9.735078580257815,27.519850127551017
10.4446847960445,27.124521683673464
11.1844870210136,26.899593431122444
11.924289245982697,27.260841836734688
12.526699629171818,27.862695312499994
12.928306551297903,28.588448660714285
13.309950556242272,29.298828124999993
13.81489493201484,30.009207589285708
14.281087762669967,30.768359374999996
14.883498145859088,31.47313456632653
15.623300370828185,31.868463010204078
16.363102595797287,31.793486926020403
17.102904820766383,31.43905452806122
17.84270704573548,31.030094068877546
18.582509270704577,30.587053571428566
19.322311495673674,29.98468889508928
20.009270704573552,29.402204241071423
20.484857849196544,28.842155612244895
21.22466007416564,28.28324298469387
21.602110188945794,27.710698341836732
22.162623609394316,27.163713727678566
22.91563658838072,26.892777423469383
23.655438813349818,27.131337691326525
24.383498145859093,27.634207589285708
24.910460444993824,28.380371093749993
25.187886279357237,29.09207589285714
25.557787391841785,29.82962472098214
25.935237506621938,30.559789540816322
26.614647713226212,31.282286352040813
27.35444993819531,31.732142857142854
28.094252163164406,31.848014987244895
28.834054388133502,31.616270727040813
29.5738566131026,31.193678252551017
30.313658838071703,30.73700573979591
31.0534610630408,30.225805165816322
31.74042027194067,29.680524553571423
32.2477132262052,28.998242187499994
32.95580964153276,28.44001116071428
33.695611866501864,27.799306441326525
34.188813349814595,27.191545758928566
34.85815822002473,26.838249362244895
35.597960444993824,27.10407366071428
36.31427688504327,27.639508928571423
36.772249690976516,28.323381696428566
37.27719406674908,29.05496651785714
37.65883807169345,29.76004464285714
38.04048207663783,30.449218749999993
38.5118753310966,31.15278220663265
39.19128553770087,31.813934948979586
39.93108776266997,31.895727040816322
40.670889987639065,31.616270727040813
41.41069221260817,31.27547034438775
42.150494437577265,30.852877869897952
42.89029666254636,30.355309311224485
43.63009888751546,29.728236607142854
44.31705809641534,29.115931919642854
44.99080655129791,28.457903180803566
45.40914709517924,27.83565848214285
46.060877626699636,27.3290019132653
46.80067985166873,26.913225446428566
47.54048207663783,27.022281568877546
48.25914709517924,27.54302455357142
48.80871446229914,28.430468749999996
49.32540173053153,29.309430803571423
49.77163164400495,30.062220982142854
50.25309023485786,30.772600446428566
50.922435105068,31.514030612244895
51.662237330037094,31.84119897959183
52.40203955500619,31.77985491071428
53.14184177997529,31.43223852040816
53.881644004944384,30.982382015306115
54.62144622991348,30.5461575255102
55.30840543881336,30.03041294642857
55.94252163164402,29.418108258928566
56.629480840543884,28.77399553571428
57.369283065512995,28.140106823979586
57.74673318029314,27.53348214285714
58.426143386897415,27.056361607142854
59.16594561186651,26.913225446428566
59.90574783683561,27.301737882653057
60.57509270704575,27.862165178571423
61.007902171993656,28.658123405612237
61.332509270704584,29.402204241071423
61.702410383189125,30.08011300223214
62.079860497969285,30.743821747448976
62.75927070457356,31.479950573979586
63.499072929542656,31.854830994897956
64.23887515451175,31.868463010204078
64.97867737948084,31.466318558673464
65.71847960444994,31.050542091836732
66.45828182941904,30.614317602040813
67.19808405438813,30.123565051020403
67.88504326328801,29.513532366071423
68.39082641709342,28.917131696428566
69.1004326328801,28.303691007653057
69.8402348578492,27.628906249999993
70.5800370828183,26.94730548469387
71.31983930778739,26.920041454081627
72.02944552357408,27.410794005102037
72.5748609394314,28.07620675223214
73.01081582200247,28.551339285714278
