EMFa,EMFa,EMFb,EMFb,EMFc,EMFc
X,Y,X,Y,X,Y
2.602631578947374,224.81687317784255,2.564060150375944,-22.82621173469397,2.602631578947374,-213.12135568513133
3.5026315789473728,220.61042274052474,3.1312030075188027,-9.666772959183731,3.5026315789473728,-220.0152605685132
4.402631578947375,213.9502095481049,3.7454887218045165,1.4205994897958476,4.402631578947375,-225.03963192419837
5.3026315789473735,204.60254190962095,4.288345864661661,13.689413265306086,5.3026315789473735,-229.12923651603512
6.074060150375946,192.36878188775506,4.8434479054779835,25.82839832361509,6.202631578947372,-231.58299927113717
6.861560150375944,181.8176020408163,5.3026315789473735,38.78368144132651,7.102631578947374,-232.7514577259476
7.424060150375944,171.18463010204079,5.831203007518802,52.67697704081627,8.002631578947373,-233.56937864431495
8.107826384142179,160.55165816326527,6.445488721804516,65.58195153061223,8.902631578947375,-233.4525327988339
8.759774436090229,148.37372448979588,6.98834586466166,78.94132653061223,9.802631578947373,-233.68622448979602
9.396240601503774,137.96556122448965,7.602631578947374,91.84630102040813,10.702631578947376,-233.68622448979602
10.18834586466166,121.94579081632651,8.145488721804519,105.8418367346938,11.602631578947374,-233.21884110787187
10.831203007518802,108.64094387755102,8.774060150375945,119.24665178571422,12.502631578947376,-232.40092018950452
11.459774436090232,94.93622448979585,9.416917293233087,131.19738520408157,13.402631578947375,-230.5313866618077
11.988345864661657,80.70212850765301,10.05977443609023,141.90306122448976,14.302631578947373,-227.02601129737616
12.502631578947376,68.84227519132651,10.726008202324,154.75185528756955,15.202631578947372,-222.70271501457728
13.016917293233089,57.9025829081632,11.461203007518804,167.99473852040816,16.102631578947378,-216.97726858600595
13.531203007518801,45.53152901785711,12.259774436090229,181.18144132653057,17.002631578947376,-207.86329263848404
13.981203007518804,33.91023596938771,13.004060150375945,192.28698979591834,17.854417293233087,-200.25370695153072
14.376100966702477,22.90725218658889,13.916917293233087,205.53730867346937,18.558345864661664,-190.74537627551024
14.931203007518807,10.872130102040785,14.816917293233086,214.41759293002914,19.340293916609713,-177.84453269944356
15.459774436090232,-0.3742825255102389,15.716917293233092,221.19465196792999,20.088345864661658,-164.02662627551035
15.988345864661657,-11.120854591836803,16.61691729323309,225.6347940962099,20.87263157894738,-150.34008290816337
