Rotor,Rotor,Tooth,Tooth,Yoke,Yoke
X,Y,X,Y,X,Y
2.543097151205263,0.8615274234693686,2.6055514974433898,35.059709821428555,2.4806428049671325,23.99051339285713
3.4174579985390814,0.8660714285714164,3.355003652300951,34.83705357142856,3.23009495982469,23.910993303571416
4.291818845872903,0.9478635204081485,4.104455807158512,34.28041294642856,3.9795471146822514,23.43387276785713
5.166179693206722,0.9751275510203925,4.853907962016073,34.23270089285713,4.728999269539813,23.35435267857141
6.040540540540544,1.0569196428571246,5.618973703433166,34.69391741071427,5.525292184075969,23.910993303571416
6.914901387874362,1.193239795918359,6.256291918454082,35.825994318181806,6.199515240055785,24.84354707792206
7.789262235208184,1.4249840561224403,6.930514974433898,37.00795200892856,6.852447041636232,25.99441964285713
8.663623082542003,1.4386160714285552,7.726807888970054,37.68387276785713,7.601899196493793,26.042131696428562
9.537983929875825,1.4113520408163112,8.309715120525933,37.03180803571427,8.247260774287803,25.34235491071427
10.412344777209647,1.2205038265305888,8.734999478242727,36.06393494897958,8.559532505478455,24.4994419642857
11.286705624543465,1.0841836734693828,9.234634248147767,35.19148596938774,9.178871439006578,23.83942522321427
12.161066471877287,1.0160235969387656,9.930554106229785,34.441725127551,9.637910883856833,23.06171874999999
13.035427319211106,0.9205994897959044,10.724616508400295,33.8510044642857,10.349890430971517,22.73409598214284
13.909788166544928,0.8660714285714164,11.474068663257857,33.67606026785713,11.099342585829074,22.622767857142847
14.784149013878746,0.8660714285714164,12.223520818115418,33.9623325892857,11.848794740686635,22.702287946428562
15.658509861212565,0.8933354591836604,12.972972972972975,34.391741071428555,12.598246895544197,23.00446428571427
16.53287070854639,0.9614955357142776,13.722425127830537,34.91657366071427,13.347699050401758,23.417968749999993
17.40723155588021,1.0023915816326365,14.471877282688098,35.12332589285713,14.097151205259316,23.879185267857125
18.281592403214027,1.0841836734693828,15.221329437545656,34.94838169642856,14.846603360116877,24.085937499999993
19.155953250547853,1.275031887755091,15.97078159240322,34.47126116071428,15.596055514974438,23.751953124999993
20.03031409788167,1.4386160714285552,16.720233747260778,34.12137276785713,16.345507669831996,23.33844866071427
20.90467494521549,1.4386160714285552,17.504382761139524,34.5931919642857,17.09495982468956,23.481584821428555
21.77903579254931,1.3704559948979522,18.2191380569759,35.64815848214285,17.844411979547118,24.244977678571416
22.653396639883134,1.193239795918359,18.90613586559533,36.86481584821427,18.593864134404676,25.3900669642857
23.527757487216952,1.0705516581632537,19.718042366691023,37.66796874999999,19.34331628926224,26.10574776785713
24.40211833455077,0.9887595663265216,20.45857247208599,37.086336096938766,20.0927684441198,25.5013950892857
25.27647918188459,0.9205994897959044,20.851142648439946,36.036670918367335,20.72425127830534,24.382812499999986
26.150840029218415,0.8660714285714164,21.332933319419816,35.00063775510203,21.422153814045714,23.59064094387754
27.025200876552233,0.8660714285714164,22.091307523739964,34.35993303571427,22.216216216216218,22.877232142857125
27.899561723886052,0.9069674744897895,22.84075967859752,33.86690848214284,22.965668371073782,22.638671874999986
28.773922571219877,0.9614955357142776,23.59021183345508,33.6283482142857,23.71512052593134,22.638671874999986
29.648283418553696,1.0296556122448806,24.339663988312644,33.91462053571427,24.464572680788905,22.877232142857125
30.522644265887514,1.1114477040816126,25.0891161431702,34.5189732142857,25.214024835646462,23.44977678571427
31.397005113221333,1.31592793367345,25.83856829802776,35.02790178571427,25.96347699050402,23.910993303571416
32.27136596055516,1.4386160714285552,26.588020452885324,35.059709821428555,26.712929145361585,23.958705357142847
33.14572680788898,1.4386160714285552,27.337472607742882,34.773437499999986,27.462381300219143,23.751953124999993
34.020087655222795,1.329559948979579,28.086924762600447,34.32812499999999,28.211833455076707,23.3861607142857
34.894448502556614,1.1387117346938709,28.836376917458004,34.264508928571416,28.961285609934265,23.43387276785713
35.76880934989044,1.0569196428571246,29.634404674945223,34.76283482142856,29.71767713659606,24.11774553571427
36.64317019722426,0.9614955357142776,30.32834185536889,35.801897321428555,30.425493060628206,25.199218749999986
37.517531044558076,0.8660714285714164,30.92859751643536,36.98409598214285,31.209642074506945,26.153459821428555
38.3918918918919,0.8660714285714164,31.70927684441199,37.68387276785713,31.93232808097674,25.73086734693876
39.26625273922572,0.8660714285714164,32.458728999269546,36.87276785714285,32.342742356255876,24.762994260204067
40.14061358655954,0.9069674744897895,32.895909422936455,35.84582270408162,33.08327246165084,23.942801339285708
41.01497443389336,0.9614955357142776,33.42677136596056,34.89669363839285,33.83272461650841,23.147600446428555
41.88933528122718,1.0569196428571246,34.20745069393719,34.20089285714284,34.582176771365965,22.702287946428562
42.763696128561,1.193239795918359,34.95690284879475,33.819196428571416,35.33162892622353,22.622767857142847
43.63805697589482,1.3840880102040671,35.706355003652305,33.69196428571427,36.08108108108109,22.73409598214284
44.512417823228645,1.4386160714285552,36.45580715850987,34.01004464285713,36.830533235938645,23.09988839285713
45.386778670562464,1.4386160714285552,37.20525931336743,34.598493303571416,37.57998539079621,23.608816964285708
46.26113951789628,1.247767857142847,37.954711468224986,34.98018973214285,38.32943754565377,23.942801339285708
47.1355003652301,1.1114477040816126,38.70416362308255,35.0756138392857,39.07888970051133,23.942801339285708
48.00986121256392,1.0296556122448806,39.45361577794011,34.80524553571428,39.82834185536889,23.592912946428555
48.88422205989774,0.9614955357142776,40.20306793279767,34.28041294642856,40.57779401022645,23.306640624999986
49.75858290723157,0.8660714285714164,40.95252008765523,34.23270089285713,41.32724616508401,23.751953124999993
50.63294375456539,0.8660714285714164,41.71758582907232,34.8251255580357,42.05171658144632,24.569419642857127
