theta,emf a,emf b,emf c
radian,volt,volt,volt
0.0,113.66147702783027,-40.7050523338596,-87.31422624093007
0.0012578949563923096,113.59849434782826,-39.84543745855105,-87.88317782076317
0.002515789912784619,113.53202247450209,-38.981195690438405,-88.44729825552426
0.0037736848691769286,113.46214734892979,-38.11273125147999,-89.0064404085514
0.005031579825569238,113.38896875569553,-37.240470591146924,-89.56046141318464
0.006289474781961548,113.31259859067507,-36.36486004134388,-90.10922268169561
0.007547369738353857,113.23315897734771,-35.48636330283533,-90.65258982677467
0.008805264694746167,113.15078025472492,-34.60545878183122,-91.19043250489764
0.010063159651138477,113.0655988614039,-33.72263679654995,-91.72262419206882
0.011321054607530787,112.97775514136353,-32.83839667455765,-92.24904190344125
0.012578949563923096,112.88739109790977,-31.95324376248719,-92.76956586912056
0.013836844520315406,112.79464812263676,-31.06768637034677,-93.28407917906426
0.015094739476707714,112.69966472639801,-30.18223267305691,-93.7924674103781
0.016352634433100026,112.60257429907972,-29.297387592084206,-94.2946182504839
0.017610529389492334,112.50350292443764,-28.413649680088024,-94.79042112958581
0.018868424345884646,112.40256727541384,-27.531508031358044,-95.27976687559173
0.020126319302276954,112.29987261419654,-26.651439240503553,-95.76254740416395
0.02138421425866926,112.19551091985024,-25.773904431366635,-96.23865545587711
0.022642109215061573,112.08955916463628,-24.89934637747702,-96.70798439156826
0.02390000417145388,111.98207775819617,-24.028186734558297,-97.17042805588427
0.025157899127846193,111.87310917660379,-23.160823404640833,-97.62588071777785
0.0264157940842385,111.7626767909392,-22.297628050248942,-98.07423709530161
0.027673689040630813,111.6507839075267,-21.438943775919835,-98.51539247051004
0.02893158399702312,111.53741302934618,-20.58508299299357,-98.94924289863201
0.03018947895341543,111.42252534540367,-19.736325482194392,-99.37568551394374
0.03144737390980774,111.30606045207023,-18.892916667028235,-99.79461893297602
0.03270526886620005,111.18793630760278,-18.05506610944735,-100.20594375386173
0.03396316382259236,111.06804941828148,-17.222946237610202,-100.6095631487939
0.03522105877898467,110.94627525187211,-16.39669131389291,-101.0053835447494
0.036478953735376976,110.82246887148074,-15.576396649609126,-101.39331538586633
0.03773684869176929,110.69646578034522,-14.762118071177357,-101.77327396917131
0.0389947436481616,110.56808296573469,-13.95387164075152,-102.14518034376073
0.04025263860455391,110.43712012793254,-13.151633632612386,-102.50896226207671
0.041510533560946215,110.30336107828512,-12.355340764919898,-102.86455517060016
0.04276842851733852,110.16657528853169,-11.564890684751555,-103.21190322614041
0.04402632347373084,110.02651957211285,-10.780142702720987,-103.55096032294185
0.045284218430123147,109.88293987689482,-10.000918771880263,-103.88169111508257
0.046542113386515455,109.73557316776576,-9.22700470407946,-104.20407201810701
0.04780000834290776,109.58414937686322,-8.458151615485887,-104.51809217353834
0.04905790329930008,109.42839339878242,-7.6940775915663835,-104.82375435985628
0.050315798255692386,109.26802710799943,-6.934469560510334,-105.12107583370957
0.051573693212084694,109.10277137591457,-6.178985362830013,-105.41008908555973
0.052831588168477,108.93234806537579,-5.427256003716774,-105.69084249462257
0.05408948312486931,108.75648198126962,-4.678888073665347,-105.96340086887872
0.055347378081261625,108.57490275675268,-3.933466321907591,-106.22784585705645
0.05660527303765393,108.38734665592727,-3.190556366319308,-106.48427622083645
0.05786316799404624,108.19355827521626,-2.4497075226919116,-106.7328079570719
0.05912106295043855,107.99329212734537,-1.710455735583957,-106.97357426154238
0.06037895790683086,107.786314093672,-0.9723265924013491,-107.20672532764277
0.06163685286322317,107.57240273257499,-0.23483840188824778,-107.43242797542567
0.06289474781961547,107.35135043372235,0.5024946821443763,-107.65086510854314
0.0641526427760078,107.12296441022094,1.2401595112789066,-107.86223499884142
0.0654105377324001,106.8870675229033,1.9786407867056466,-108.06675040062076
0.06666843268879241,106.64349893328645,2.718417916795232,-108.26463749885573
0.06792632764518472,106.39211458401361,3.459961907555932,-108.45613469794182
0.06918422260157703,106.13278750783445,4.203732305322551,-108.64149125976738
