EMFb,EMFb,Ib,Ib
X,Y,X,Y
2.3390105433901063,-11.64349197247708,2.5175444244141154,-3.1297875415522753
2.9457623682076246,-8.000645068807358,3.2487606232294652,0.6144674085850284
3.4918390105433907,-2.4240252293578237,3.9552053824362616,5.48529411764703
4.037915652879157,3.030031536697237,4.72453148834169,10.244588479882566
4.523317112733171,7.319739105504567,5.499291784702553,15.453497615262279
5.008718572587188,12.528669724770623,6.266288951841364,19.780604133545282
5.372769667477698,16.409833715596307,6.9444759206798885,24.21192368839425
7.091899837793999,45.348337155963264,7.679178470254961,28.593402225755142
7.678426601784267,51.13603784403668,8.446175637393772,32.74833068362477
8.16382806163828,56.24283256880733,9.172804532577906,37.369952305246386
8.709904703974047,60.818520642201804,10.004023950553702,41.65298453533744
9.377331711273317,66.66069380733944,10.759277620396603,45.743243243243214
10.062094484995946,71.70912516382697,11.655453257790374,49.87551669316372
10.697016930251422,76.61894352064218,12.488048866855529,53.96701112877581
11.246127331711275,81.3274082568807,13.320644475920684,57.5011923688394
11.925689375506895,86.54314793577979,14.228930594900856,61.001391096979305
12.653791565287918,91.64994266055045,15.046388101983009,63.93845105609809
13.381893755068937,96.58651089449539,15.894121813031166,66.38519191460365
14.09786090835361,100.692373853211,16.741855524079323,68.59890983420392
14.83135644768857,104.13321865443423,17.589589235127487,70.50193050193047
15.566200324412009,107.51505160550457,18.437322946175644,71.74471950942537
16.294302514193028,109.55776949541283,19.2850566572238,72.83215989098339
17.022404703974047,110.9876720183486,20.13279036827196,73.3758800817624
17.750506893755073,112.55375573394494,20.980524079320116,73.6089030206677
18.478609083536092,113.30275229357795,21.82825779036828,73.33704292527818
19.20671127331712,114.18793004587154,22.675991501416437,72.83215989098339
19.934813463098138,115.07310779816511,23.523725212464594,71.66704519645694
20.662915652879157,115.07310779816511,24.37145892351275,70.34658187599362
21.391017842660183,115.07310779816511,25.219192634560915,68.5600726777197
22.119120032441202,115.00501720183485,26.066926345609073,66.5017033840563
22.84722222222223,114.66456422018346,26.91466005665723,63.86077674312966
23.575324412003248,113.77938646788989,27.762393767705387,61.103338632750365
24.303426601784267,112.96229931192659,28.57985127478754,57.637122416534154
25.031528791565293,112.48566513761466,29.457861189801708,54.34567340449691
25.759630981346312,111.66857798165135,30.305594900849865,50.461957756075364
26.48773317112734,110.30676605504586,31.12305240793202,46.21899841017485
27.215835360908358,108.33213876146787,31.758852691218134,42.412957074721746
27.90059813463099,105.8516956094364,32.45520538243626,39.456478537360866
28.663371857258724,102.93352719528175,32.98335694050992,35.63910969793319
29.09676601784267,99.23069571865442,33.67451068761268,32.06373753432574
29.703517842660183,96.73971473623851,34.42315864022663,27.551271860095355
30.04734387672344,93.28411697247705,35.149787535410766,23.156200317965002
30.633870640713717,90.96903669724769,35.88742595930982,18.693163751987257
30.91702149229522,87.087872706422,36.58102626834922,14.39283133400778
31.52377331711274,84.48340739678898,37.329674220963184,9.721780604133514
31.827149229521495,80.41499426605503,38.03428405871749,5.223731753143483
32.31255068937551,76.36360378440365,38.683846252897254,0.8492556727850626
32.81817721005678,71.17737003058102,39.364235127478764,-3.028457869634366
33.432283602447846,66.71640429524601,40.01599922740151,-7.528978176037043
34.01145579886456,64.41370412844034,40.72060906515581,-12.0496820349762
34.12067112733171,60.57339449541283,41.43622843162504,-16.574504986269744
34.505525141930256,56.30119593709043,42.17386685552408,-21.066375198728167
34.973590835360916,51.92394331585845,42.88948622199331,-25.47174447174453
35.37664740470398,46.999534116972455,43.61611511717744,-29.79679144385031
35.85193633414437,41.44447629969417,44.380665722379604,-34.04769475357713
36.41823803730738,36.13340978593271,45.10240149369045,-38.372741725682914
36.757007806163834,30.249247419724753,45.86756373937678,-42.4481717011129
37.287915652879164,27.84905389908255,46.62446883852692,-45.90759141494439
37.40926601784267,23.55934633027522,47.24296843383247,-49.31069725187376
37.88599959448501,19.06536697247705,47.971759915014175,-52.126391096979376
38.388736820762375,13.579210353866301,48.83463172804534,-55.67999091528506
38.98682076236821,8.238962155963293,49.63695113314449,-59.19475357710655
39.47222222222223,3.030031536697237,50.53009915014165,-62.28230751760168
40.018298864558,-2.0971903669725123,51.377832861189816,-64.92323415852832
40.56437550689376,-6.979286123853228,52.22556657223798,-67.25346354758122
40.989101784266026,-11.711582568807358,53.07330028328613,-69.31183284124464
41.51495336577454,-17.295011467889935,53.921033994334294,-70.86531910061325
43.11273317112734,-45.28024655963304,54.768767705382444,-72.10810810810815
43.71948499594486,-50.99985665137615,55.61650141643061,-73.00136270724511
44.20488645579887,-55.90237958715596,56.46423512747877,-73.50624574153989
44.75096309813464,-61.09088302752298,57.31196883852692,-73.66159436747674
45.418390105433915,-66.6606938073395,58.15970254957509,-73.11787417669774
46.08581711273318,-72.20326834862385,59.00743626062324,-72.34113104701345
46.672343876723446,-77.0104644495413,59.8551699716714,-71.13717919600276
47.137520275750205,-81.61792813455662,60.702903682719565,-69.54485578014993
47.72404703974048,-85.80776949541286,61.550637393767715,-67.60299795593917
48.35837849295879,-90.94427648040033,62.39837110481588,-65.35044287985468
48.99822587185727,-94.30547591743118,63.246104815864044,-62.593004769475385
49.327605433901056,-98.1282765399738,64.0938385269122,-59.680218033159264
49.932623682076255,-101.20986238532112,64.89615793201135,-56.71403020667731
50.62778791565289,-103.90625,65.78930594900851,-52.65069270951628
51.33855433901056,-106.64932830930536,66.65217776203967,-48.83008744038159
52.09266017842661,-108.74068233944956,67.48477337110484,-45.166772655007975
52.82076236820764,-110.51103784403671,68.32149755343808,-40.69590981355691
53.54886455798865,-111.87284977064223,69.12519314962658,-36.76629570747221
54.27696674776968,-113.30275229357801,69.80998583569408,-32.17186009538955
55.0050689375507,-113.77938646788988,70.56621813031163,-28.2782193958665
55.733171127331715,-114.9369266055046,71.28306077774918,-23.71701112877588
