Torque,
X,Y
2.5000000000000036,13.183253750564525
3.0000000000000036,13.228326516140434
3.5000000000000036,13.239672020914716
4,13.241820934625826
4.5000000000000036,13.184763296462746
5.0000000000000036,13.119254364478387
5.5000000000000036,13.06793530476903
6,13.049900851119501
6.5000000000000036,13.028092902137681
7.0000000000000036,13.050567567513635
7.5000000000000036,13.162617268170568
8,13.274598451719507
8.500000000000004,13.32283461899346
9.000000000000004,13.372983407504762
9.500000000000004,13.374309203381598
10.000000000000004,13.318313377260004
10.500000000000004,13.273863328667007
11.000000000000004,13.18195813502152
11.500000000000004,13.125363917419769
12.000000000000004,13.050141480594078
12.500000000000004,13.007105738088239
13.000000000000004,13.02908289466135
13.5,13.046969205309972
14.000000000000007,13.119123681965682
14.500000000000004,13.22269688849173
15,13.256017143415308
15.500000000000004,13.24325639811056
16.000000000000004,13.216599951078592
16.500000000000007,13.16300891283131
17.000000000000004,13.12754587052574
17.500000000000004,13.066109304973507
18.000000000000007,13.030407960435612
18.500000000000007,13.029385625596115
19,13.047770714373591
19.500000000000007,13.163971063468544
20,13.282229998233136
20.500000000000007,13.352548908997283
21.000000000000007,13.374956195470224
21.5,13.367139310142653
22.000000000000007,13.314013382129941
22.500000000000007,13.280556891336529
23,13.180868943517307
23.500000000000007,13.12743481959119
24.000000000000007,13.048771504235129
24.500000000000007,13.009480342964899
25.000000000000007,13.00900393783085
25.5,13.046754189311544
26.000000000000007,13.12353572206923
26.500000000000007,13.194523379631951
27,13.245778620032228
27.500000000000007,13.238977167073495
28.000000000000007,13.204619624814377
28.500000000000007,13.17259747141504
29.000000000000007,13.126307949761042
29.500000000000007,13.068420310736025
30.000000000000007,13.02860536832343
30.500000000000007,13.028128307611846
31,13.05639527899982
31.500000000000007,13.144552663285921
32.00000000000001,13.256883496233396
32.50000000000001,13.353205750908124
33.00000000000001,13.373275663700081
33.50000000000001,13.359167230792602
34.00000000000001,13.291138087252797
34.50000000000001,13.274487807061991
35,13.182636332026432
35.50000000000001,13.110725295735703
36.00000000000001,13.049574655762672
36.50000000000001,13.009165025305787
37.00000000000001,13.009894413944817
37.50000000000001,13.046771568404145
38.00000000000001,13.152322385266677
38.50000000000001,13.184826996877623
39.00000000000001,13.240434404219071
39.50000000000001,13.239002426890952
40.00000000000001,13.192395184517409
40.50000000000001,13.182443224433838
41,13.125318304115236
41.50000000000001,13.058129015210458
42.00000000000001,13.04959046316852
42.500000000000014,13.030127855521721
43.00000000000001,13.050346395399062
43.50000000000001,13.169946339585202
44.000000000000014,13.243920702395753
44.50000000000001,13.336533548678068
45.00000000000001,13.372959007735323
45.500000000000014,13.36826775104376
46,13.296355629236926
46.50000000000001,13.281594017187015
47.000000000000014,13.181102226545335
47.5,13.108840918073446
48.00000000000001,13.048603694674961
48.50000000000001,13.00997139333339
49,13.03114587049272
49.50000000000001,13.048421068236072
50.000000000000014,13.122901016419814
50.500000000000014,13.23956681689691
51,13.239912674153334
51.500000000000014,13.220296576987243
52.000000000000014,13.207301356456176
52.5,13.172686914170017
53.000000000000014,13.124435448343956
53.500000000000014,13.068241823995525
54,13.028580792814173
54.500000000000014,13.037145597973428
55.000000000000014,13.045857068796153
55.5,13.160606588530626
56.000000000000014,13.264747638508576
56.500000000000014,13.342641262979468
57,13.373335454904925
57.5,13.374561189778664
58.000000000000014,13.304535966023966
58.500000000000014,13.259346115565071
59,13.164984257550216
59.500000000000014,13.127940214248168
60.000000000000014,13.048975812775028
60.5,13.009445175664982
61.000000000000014,13.026087198286538
61.500000000000014,13.059332309239212
62,13.151808622888895
62.500000000000014,13.203731631291738
63.000000000000014,13.259416753143883
63.5,13.237357705011492
64.00000000000001,13.217603855668246
64.50000000000001,13.163365528607681
65,13.123781318419645
65.50000000000001,13.065546747917185
66.00000000000001,13.028501193676725
66.50000000000001,13.028787664145396
67.00000000000001,13.057363289471649
67.50000000000001,13.148729314887103
68.00000000000001,13.239901082076434
68.5,13.350132280649964
69.00000000000001,13.373229866190263
69.50000000000001,13.352208119945889
70,13.296921786624804
70.50000000000001,13.262953775396763
71.00000000000001,13.195648607631712
71.5,13.126252804955893
72.00000000000001,13.049532937164741
72.50000000000001,13.029895445299701
