Tooth,Tooth,Yoke,Yoke,Rotor,Rotor,EMFa,EMFa,EMFb,EMFb,EMFc,EMFc
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.4824055666003986,52.22850765306123,2.4405176086339146,33.54719387755101,2.4314115308151116,0.8303571428571388,2.6663445017182177,224.93728497706417,2.4267855748203715,-23.076522101751493,2.6663445017182177,-213.4299741972477
3.132579522862823,53.12276785714285,3.132579522862823,34.31058673469387,3.1963220675944335,0.8303571428571388,3.6946950171821342,219.7283543577981,3.180519759450174,-8.919868119266084,3.6946950171821342,-220.8858944954129
3.9293613320079537,52.85012755102041,3.961232604373759,34.80133928571428,3.961232604373759,0.8303571428571388,4.723045532646051,210.8425315366972,3.9517826460481125,6.536697247706343,4.723045532646051,-226.2990969036698
4.5094184890656095,52.32665816326529,4.726143141153081,34.6922831632653,4.726143141153081,1.1575255102040671,5.663752538269293,199.8397101751459,4.705516830677919,23.794568390325196,5.751396048109967,-229.8738532110092
5.236083499005964,52.41390306122449,5.522924950298211,34.958107461734684,5.491053677932406,1.1575255102040671,6.188445017182136,189.12844036697246,5.3014926975945045,39.152092889908204,6.779746563573887,-232.42725057339453
6.036406560636184,52.70471938775509,6.238579884330385,36.030699211502764,6.255964214711732,1.1575255102040671,7.0615541567539,177.47552046577272,5.879939862542958,53.98222477064212,7.808097079037804,-233.5507454128441
6.765904572564612,53.995216836734684,7.0208747514910534,37.841278698979565,7.0208747514910534,1.3483737244897895,7.92949957044674,165.59633027522932,6.515517611683855,67.72744648318042,8.83644759450172,-233.5507454128441
7.530815109343937,55.412946428571416,7.737978379721671,39.333984375,7.785785288270379,1.4846938775509955,8.322272336769764,155.0763331422018,7.062542955326464,81.5997706422018,9.86479810996564,-233.9592889908257
8.295725646123262,56.530771683673464,8.600273359840955,39.18176020408163,8.5506958250497,1.4846938775509955,8.900719501718218,145.78196674311923,7.790568377069672,97.18385112593825,10.893148625429557,-233.9592889908257
9.081883697813122,55.86734693877551,9.251863817097416,38.045758928571416,9.315606361829026,1.4846938775509955,10.13941444079975,122.58783361134277,8.4436748281787,111.85015290519874,11.921499140893477,-233.24433772935788
9.727035514187602,54.38187036178107,9.570576540755468,36.246332908163254,10.080516898608352,1.4846938775509955,10.867439862542962,108.64535550458714,9.017577514839115,125.63334028356957,12.94984965635739,-230.99734805045875
10.399229622266404,52.54113520408163,10.101764413518886,34.41964285714286,10.845427435387673,1.3483737244897895,11.414465206185568,95.14525993883785,9.821950171821307,137.47491399082566,13.97820017182131,-228.1375430045872
10.909169980119284,51.123405612244895,10.717942345924452,32.81106505102041,11.610337972166999,1.3211096938775313,12.042901632302414,80.8916284403669,10.52504588409872,152.00297122602166,15.00655068728523,-223.43929185779814
11.546595427435388,50.45770886479592,11.43732249360977,31.841244533527686,12.375248508946324,1.1575255102040671,12.571359536082479,67.8182339449541,11.278780068728526,165.25587729357792,16.034901202749143,-216.9025946100918
12.375248508946324,50.232780612244895,12.247763419483103,31.475127551020407,13.140159045725646,0.993941326530603,13.206937285223372,53.655389908256836,12.074762919640502,178.04119618913197,17.114669243986253,-207.8125
13.140159045725646,50.39636479591836,13.012673956262425,31.50239158163265,13.905069582504971,0.8303571428571388,13.842515034364265,39.94648318042812,12.979843213058427,191.19839449541274,18.027330326460483,-197.93936353211006
13.905069582504971,51.077965561224474,13.764835984095427,31.927710459183672,14.669980119284297,0.8303571428571388,14.31562768470791,24.546659977064166,13.923109965635742,203.06561271297505,18.99140893470791,-183.98079128440372
14.662897614314119,52.48660714285715,14.492917495029822,33.23820153061223,15.434890656063622,0.8303571428571388,14.980841924398629,10.26806192660547,15.00655068728523,216.25573394495407,19.762671821305847,-169.74985665137615
15.434890656063622,53.44993622448979,15.261875177506397,34.505329810495624,16.19980119284294,0.9121492346938567,15.527867268041238,-2.2696865443425622,16.034901202749143,223.20097477064215,20.58831862939466,-154.76468772053636
16.183865556660038,52.87057557397959,16.07231610337972,34.828603316326536,16.964711729622266,1.1575255102040671,16.15630369415808,-13.43654434250766,17.063251718213063,227.5928182339449,21.488125330425593,-140.4970889202541
16.730989065606366,52.03220663265306,16.837226640159045,34.6922831632653,17.72962226640159,1.1575255102040671,16.684761597938145,-26.691513761467945,18.091602233676984,231.26971043577979,22.20500429553265,-125.20498853211006
17.47465208747515,52.359375,17.61124325475717,35.08955903790087,18.494532803180917,1.2120535714285552,17.313198024054987,-39.22018348623851,19.119952749140896,232.49534116972472,22.865252069665733,-109.68776063386156
18.26853650822339,52.96909786641929,18.367047713717696,36.12364477040816,19.259443339960242,1.4029017857142776,17.770242697594508,-51.98230668414163,20.148303264604817,233.31242832568802,23.601457552327407,-93.94026271893244
19.0044731610338,54.2951211734694,19.13195825049702,38.01849489795919,20.02435387673956,1.4846938775509955,18.341548539518907,-64.82224770642205,21.176653780068737,232.59747706422013,24.254564003436432,-78.7127293577982
19.740409813844202,55.928484461966605,19.83312624254473,39.45667251275509,20.789264413518886,1.4846938775509955,18.79859321305842,-77.66218872870246,22.20500429553265,233.51670011467886,24.783021907216497,-64.54988532110093
20.56616550695825,56.714803890306115,20.670885401874465,39.412855320699705,21.55417495029821,1.4846938775509955,19.369899054982827,-90.51509938837927,23.23335481099657,233.2102924311926,25.41145833333334,-50.29625382262998
21.267333499005964,55.774194834183675,21.19296719681909,37.764030612244895,22.319085487077537,1.4846938775509955,19.898356958762893,-103.22534403669727,24.26170532646049,232.29106938073392,25.939916237113405,-36.04262232415908
