Va,Va,Vb,Vb,Vc,Vc
X,Y,X,Y,X,Y
4.687476099426384,95.85411352040808,4.687476099426384,153.92649872448973,4.77330305927342,-216.97726858600595
5.364060055623149,85.07986433209646,5.349569789674948,166.52248086734693,5.631572657743785,-211.13497631195344
6.0216952025030395,73.77768436920218,5.92583652007648,181.65401785714283,6.489842256214146,-205.7600674198252
6.735062141491394,65.21843112244892,6.476218929254301,195.1769770408163,7.348111854684511,-199.33354591836746
7.260533324228351,56.792547376093296,7.0170650095602305,207.82748724489795,8.206381453154872,-193.0238702623908
8.010205544933076,48.57828443877548,7.702318355640532,220.07812499999997,9.064651051625237,-186.1299653790088
8.521664162797048,39.031978862973745,8.574211281070745,231.36024052478132,9.922920650095602,-179.23606049562693
9.19952198852772,29.929687499999943,9.432480879541107,232.2950072886297,10.781190248565963,-171.8747722303208
9.922920650095602,17.551817602040785,10.290750478011471,228.55594023323613,11.639459847036328,-164.3966381195337
10.636287589083953,3.585198283858915,11.149020076481833,227.62117346938774,12.528381931166347,-156.5971779336735
11.25800669216061,-11.393494897959272,12.007289674952197,230.19178206997083,13.355999043977054,-146.86976129737616
11.721199808795408,-26.206951530612344,12.865559273422559,233.6971574344023,14.20200764818355,-137.00797193877554
12.007289674952197,-37.38520408163271,13.723828871892923,235.21615342565593,14.990798279158692,-125.72066326530614
12.390445745697896,-48.22265625000006,14.582098470363288,234.63192419825072,15.820458891013384,-114.84231505102048
12.758275573613766,-59.46906887755108,15.440368068833653,229.72439868804662,16.54385755258126,-103.50047831632651
13.11077915869981,-70.45257835276976,16.29863766730401,221.8957270408163,17.291778202676863,-90.22289540816337
13.464985659655834,-82.27997448979602,17.156907265774375,214.65128462099122,18.03746958108813,-78.50431934137293
13.861765057361378,-94.0262276785715,18.01517686424474,208.4584548104956,18.779131122223855,-68.27744799843015
14.227891969407263,-105.545280612245,18.873446462715105,202.73300838192418,19.609106118546844,-57.599535349854364
14.704708413001914,-113.04288903061229,19.685737332695982,196.54017857142856,20.46737571701721,-46.14864249271142
15.685587954110897,-134.8200334821429,20.589985659655827,189.99681122448976,21.297350713340197,-33.861852433281115
16.176027724665392,-145.65748565051024,21.448255258126192,182.7523688046647,22.039012254475924,-20.060151901669883
16.77545411089866,-156.25637755102048,22.306524856596557,175.5079263848396,22.66073135755258,-5.758928571428612
17.279517208413,-167.94583067602048,23.16479445506692,168.38032981049557,23.22609942638623,7.600446428571388
17.769956978967496,-179.70344387755108,24.023064053537286,160.55165816326527,23.655234225621417,19.960140306122355
18.260396749521984,-191.05209661989807,24.881333652007644,151.67137390670553,24.145673996175905,32.874202806122355
18.764459847036324,-203.8775510204082,25.73960325047801,141.24872448979585,24.528830066921604,46.55393016581627
19.350262906309755,-216.14636479591843,26.419531114201288,130.66036641929492,24.922203632887186,58.40242346938771
19.881572657743785,-227.41549744897975,26.843092734225618,131.10650510204079,25.264489722753343,70.98931760204079
20.712595602294453,-232.40092018950452,27.837595602294453,110.84024234693874,25.632319550669212,82.9514110331632
21.570865200764818,-232.51776603498547,28.53733921432296,99.72808441558436,25.98482313575526,95.46852223032067
22.429134799235182,-228.5450072886298,29.17268164435946,88.57461734693874,26.488886233269593,107.65943877551013
23.287404397705547,-227.96077806122457,29.83477533460803,77.53268494897952,27.08831261950287,119.08306760204079
24.145673996175905,-230.5313866618077,30.499098296540932,67.08560412801484,27.687739005736137,130.37946428571422
25.00394359464627,-234.3872995626823,31.31835564053537,59.40210459183669,28.205425430210322,141.73947704081627
25.862213193116634,-237.54213739067063,32.01500304189119,47.30678919294985,28.791228489483753,153.37213010204079
26.720482791587,-234.3872995626823,32.75666458302692,36.416429552590216,29.295291586998086,164.94798309948976
27.578752390057364,-228.31131559766777,33.464029636711274,28.968630420918316,29.799354684512426,178.18239795918362
28.43702198852772,-221.06687317784258,33.84718570745697,18.846859056122412,30.38515774378585,191.36001275510202
29.295291586998086,-214.28981413994177,34.43128585086042,9.145408163265301,30.926003824091776,205.04655612244895
30.15356118546845,-207.86329263848404,34.93534894837477,-3.7482063137755404,31.645315487571704,218.14692283163262
31.011830783938816,-202.1378462099126,35.36448374760994,-14.619738520408248,32.4831500956023,229.95809037900872
31.87010038240918,-195.5944788629738,35.73231357552581,-25.116390306122526,33.341419694072655,232.0613155976676
32.728369980879535,-189.16795736151607,36.0633604206501,-37.87595663265313,34.19968929254303,229.72439868804662
33.58663957934991,-181.80666909620993,36.483299474187376,-50.062978316326564,35.057958891013385,227.62117346938774
34.49088790630975,-175.51159917091843,36.851129302103246,-60.90043048469391,35.91622848948374,229.14016946064137
35.303178776290636,-167.43463010204084,37.218959130019115,-73.16924426020415,36.774498087954115,233.11292820699705
36.19210086042065,-159.76662149234699,37.586788957934985,-84.41565688775518,37.63276768642447,235.44984511661806
37.074211281070745,-151.1670918367347,37.93053468997542,-95.10705174927119,38.491037284894844,235.332999271137
37.85912450360347,-142.64533457613823,38.30031070745699,-106.54496173469391,39.3493068833652,230.54231960641397
