Rotor,Rotor,Tooth,Tooth,Yoke,Yoke
X,Y,X,Y,X,Y
2.5143206984667827,1.3253604193971285,2.57804514480409,62.91427752293578,2.57804514480409,37.8841743119266
3.406462947189098,1.2786697247706513,3.3882559625212956,62.35009829619922,3.342738500851791,37.8569380733945
4.2986051959114135,1.4187418086500543,4.107431856899492,61.797591743119256,4.107431856899492,37.47563073394495
5.1907474446337325,1.6055045871559628,4.872125212947189,61.19839449541284,4.872125212947189,37.284977064220186
6.082889693356048,1.65219528178244,5.63681856899489,61.19839449541284,5.63681856899489,37.720756880733944
6.975031942078367,1.7689220183486327,6.417443036626917,62.029099770642205,6.3742014480408855,38.4444626474443
7.867174190800682,1.7689220183486327,7.166205281090292,63.18663990825688,7.166205281090292,39.24598623853211
8.759316439523001,1.7689220183486327,7.930898637137993,63.64965596330275,7.930898637137993,39.518348623853214
9.651458688245317,1.7689220183486327,8.69559199318569,63.595183486238525,8.69559199318569,39.00086009174312
10.543600936967632,1.6755406290956785,9.451181856899488,62.58355176933159,9.432974872231686,37.93086500655309
11.435743185689951,1.5121231979030085,10.197668228279387,61.20617627785059,10.097529812606474,36.71301605504587
12.327885434412266,1.2786697247706513,10.862223168654175,60.24512614678899,10.862223168654175,35.923165137614674
13.220027683134582,1.2319790301441458,11.626916524701876,60.10894495412843,11.626916524701876,35.59633027522935
14.112169931856904,1.13859764089122,12.437127342419082,60.36574377457404,12.391609880749577,35.705275229357795
15.00431218057922,1.2786697247706513,13.165406729131178,61.57970183486239,13.147199744463371,36.34338138925294
15.896454429301535,1.2786697247706513,13.920996592844979,62.560206422018354,13.920996592844979,37.339449541284395
16.78859667802385,1.6055045871559628,14.68568994889268,63.050458715596335,14.68568994889268,37.99311926605503
17.680738926746166,1.6055045871559628,15.450383304940374,62.424025229357795,15.450383304940374,37.8841743119266
18.57288117546849,1.7689220183486327,16.215076660988075,61.74311926605505,16.215076660988075,37.42115825688073
19.465023424190804,1.7689220183486327,16.979770017035776,61.17115825688073,16.979770017035776,37.25774082568806
20.35716567291312,1.7689220183486327,17.744463373083477,61.252866972477065,17.744463373083477,37.74799311926604
21.249307921635435,1.7689220183486327,18.509156729131178,62.06995412844037,18.509156729131178,38.51060779816514
22.141450170357757,1.7455766710353942,19.27385008517888,63.32282110091744,19.27385008517888,39.27322247706422
23.033592419080072,1.6055045871559628,20.03854344122658,64.05819954128441,20.03854344122658,39.68176605504587
23.925734667802388,1.3720511140235772,20.80323679727428,63.67689220183486,20.80323679727428,38.9463876146789
24.817876916524703,1.2319790301441458,21.558826660988082,62.49017038007864,21.522412691652477,37.79079292267366
25.71001916524702,1.0685615989515043,22.05648424190801,61.19839449541284,22.20517461669506,36.60407110091742
26.60216141396934,1.2786697247706513,22.714970187393526,60.544724770642205,22.96986797274276,35.786983944954116
27.494303662691657,1.2786697247706513,23.479663543441227,60.10894495412843,23.734561328790463,35.296731651376135
28.386445911413972,1.5121231979030085,24.244356899488928,60.32683486238531,24.499254684838164,35.705275229357795
29.278588160136287,1.6055045871559628,25.030291737649065,61.10760703363914,25.248016929301535,36.45427178899082
30.170730408858603,1.6755406290956785,25.725950276831348,62.43764334862385,26.028641396933565,37.74799311926604
31.062872657580925,1.7689220183486327,26.53843696763203,62.99598623853211,26.793334752981266,37.8841743119266
31.95501490630324,1.7689220183486327,27.30313032367973,62.396788990825684,27.55802810902896,37.720756880733944
32.847157155025556,1.7689220183486327,28.067823679727432,61.77035550458716,28.32272146507666,37.44839449541284
33.73929940374787,1.7689220183486327,28.832517035775133,61.19839449541284,29.087414821124362,37.3122133027523
34.631441652470194,1.698885976408917,29.597210391822834,61.19839449541284,29.852108177172063,37.82970183486238
35.52358390119251,1.48877785058977,30.361903747870528,61.961009174311926,30.616801533219764,38.67402522935781
36.415726149914825,1.2786697247706513,31.08107964224873,63.00376802096986,31.381494889267465,39.46387614678898
37.30786839863714,1.1152522935779814,31.89129045996593,63.94925458715596,32.146188245315166,39.4911123853211
38.200010647359456,1.1152522935779814,32.65598381601363,63.70412844036697,32.919985093696766,38.63122542595019
39.09215289608178,1.2786697247706513,33.42067717206133,62.72362385321101,33.67557495741057,37.55733944954129
39.98429514480409,1.3253604193971285,34.17626703577513,61.41628440366972,34.44026831345827,36.49512614678899
40.87643739352641,1.6055045871559628,34.90454642248723,60.29570773263434,35.20496166950596,35.705275229357795
41.768579642248724,1.6055045871559628,35.714757240204435,60.10894495412843,35.969655025553664,35.35120412844036
42.66072189097104,1.7689220183486327,36.488554088586035,60.55250655307995,36.734348381601365,35.89592889908258
43.55286413969336,1.7689220183486327,37.19862649063033,61.533011140235914,37.499041737649065,36.849197247706414
44.44500638841568,1.7689220183486327,38.00883730834753,62.72362385321101,38.263735093696766,37.720756880733944
45.33714863713799,1.7689220183486327,38.77353066439523,63.050458715596335,39.02842844974447,38.04759174311927
46.229290885860316,1.7455766710353942,39.53822402044293,62.45126146788991,39.79312180579217,37.69352064220183
47.121433134582624,1.6055045871559628,40.30291737649063,61.6341743119266,40.55781516183987,37.284977064220186
48.013575383304946,1.2786697247706513,41.067610732538334,61.14392201834862,41.32250851788757,37.39392201834862
48.905717632027255,1.2553243774574128,41.832304088586035,61.252866972477065,42.08720187393527,38.07482798165137
49.79785988074958,1.0685615989515043,42.64251490630324,62.25671690694627,42.851895229982965,38.86467889908256
50.6900021294719,1.2786697247706513,43.36169080068144,63.350057339449535,43.616588586030666,39.57282110091744
51.58214437819421,1.2786697247706513,44.12638415672914,64.0309633027523,44.38128194207837,39.518348623853214
