MagnetLoss,MagnetLoss
X,Y
2.5000000000000036,11.659484365388241
3.0000000000000036,11.778447197939219
3.5000000000000036,11.843444684271695
4,11.825159745337736
4.5000000000000036,11.847471679013772
5.0000000000000036,11.965950799073442
5.5000000000000036,12.17693115024624
6,12.4944334203629
6.5000000000000036,12.866796785692156
7.0000000000000036,13.283284682387011
7.5000000000000036,13.587770694354335
8,13.753677131894026
8.500000000000004,13.61508753534005
9.000000000000004,13.352685193146115
9.500000000000004,13.079175090330578
10.000000000000004,12.827243558333178
10.500000000000004,12.634048319698923
11.000000000000004,12.523154526557738
11.500000000000004,12.403562473851673
12.000000000000004,12.324344663966778
12.500000000000004,12.197826965710915
13.000000000000004,12.036461723385457
13.5,11.863603687589137
14.000000000000007,11.762698210359705
14.500000000000004,11.694479114433705
15,11.729390578648449
15.500000000000004,11.810649938253473
16.000000000000004,11.848566582628166
16.500000000000007,11.817585491142527
17.000000000000004,11.922833953907368
17.500000000000004,12.161756483626885
18.000000000000007,12.472648140608849
18.500000000000007,12.86885450784368
19,13.319186243424433
19.500000000000007,13.599747135682488
20,13.73886930252367
20.500000000000007,13.658790108681359
21.000000000000007,13.361071877146497
21.5,13.047518921433277
22.000000000000007,12.803950117529418
22.500000000000007,12.65554886114311
23,12.52416565047432
23.500000000000007,12.416405314349774
24.000000000000007,12.324783116679079
24.500000000000007,12.198502336482331
25.000000000000007,12.077584137319608
25.5,11.888016451078695
26.000000000000007,11.763916684909303
26.500000000000007,11.69447968240289
27,11.739719738321691
27.500000000000007,11.78181906764857
28.000000000000007,11.847099234190107
28.500000000000007,11.904331732977353
29.000000000000007,11.928865306056036
29.500000000000007,12.131918179271192
30.000000000000007,12.426421446001152
30.500000000000007,12.88219827738468
31,13.305810855057059
31.500000000000007,13.654709782738255
32.00000000000001,13.735767303682431
32.50000000000001,13.616207041278235
33.00000000000001,13.371812594744158
33.50000000000001,13.0659213241655
34.00000000000001,12.781192777717001
34.50000000000001,12.62355669874983
35,12.49118652320667
35.50000000000001,12.423619135523914
36.00000000000001,12.334225380215145
36.50000000000001,12.186539231809558
37.00000000000001,12.04784774829324
37.50000000000001,11.855640484323953
38.00000000000001,11.745163457429577
38.50000000000001,11.706099960476257
39.00000000000001,11.776373449153233
39.50000000000001,11.847099319283597
40.00000000000001,11.810724985837869
40.50000000000001,11.828170603164821
41,11.957755500045003
41.50000000000001,12.188856460922532
42.00000000000001,12.498898941756321
42.500000000000014,12.896967224653316
43.00000000000001,13.257065643589408
43.50000000000001,13.614082863492918
44.000000000000014,13.748888997925393
44.50000000000001,13.594166650884176
45.00000000000001,13.341318503999425
45.500000000000014,13.084212045510244
46,12.809165660685618
46.50000000000001,12.630650311079425
47.000000000000014,12.486631185188408
47.5,12.405372372162189
48.00000000000001,12.304958070314814
48.50000000000001,12.205889320977413
49,12.048966673972503
49.50000000000001,11.87992049048901
50.000000000000014,11.780641716081199
50.500000000000014,11.694479533682978
51,11.728046733086213
51.500000000000014,11.814833223291334
52.000000000000014,11.854463838276665
52.5,11.809005447569682
53.000000000000014,11.932982488647077
53.500000000000014,12.133849782028353
54,12.477886409138302
54.500000000000014,12.898514506800453
55.000000000000014,13.305855933229271
55.5,13.612001253082722
56.000000000000014,13.736386650934298
56.500000000000014,13.647413319585752
57,13.340501120722976
57.5,13.039744517949114
58.000000000000014,12.839006095929221
58.500000000000014,12.645535541613391
59,12.515705329243078
59.500000000000014,12.415020404240433
60.000000000000014,12.307232425317746
60.5,12.219012812317445
61.000000000000014,12.065938535828028
61.500000000000014,11.88235942562183
62,11.742172826947737
62.500000000000014,11.694478935022484
63.000000000000014,11.751711826399784
63.5,11.789969931485828
64.00000000000001,11.854530512957417
64.50000000000001,11.885254228547895
65,11.928183563687137
65.50000000000001,12.111838918797762
66.00000000000001,12.44661717944844
66.50000000000001,12.849108442654222
67.00000000000001,13.321048875991893
67.50000000000001,13.651494168770395
68.00000000000001,13.749257142835267
68.5,13.620513678498224
69.00000000000001,13.371591358230361
69.50000000000001,13.040114492386031
70,12.7775731684285
70.50000000000001,12.606761766068272
71.00000000000001,12.487311271464645
71.5,12.431824929010995
72.00000000000001,12.332146966623412
72.50000000000001,12.204867720333404
73,12.05905747820471
